Wavelength (nm),% Transmission,,
2600,60.97968,,
2599,60.89179,,
2598,60.7878,,
2597,60.66919,,
2596,60.55086,,
2595,60.40473,,
2594,60.2598,,
2593,60.1184,,
2592,59.94663,,
2591,59.79915,,
2590,59.62446,,
2589,59.46274,,
2588,59.32106,,
2587,59.16343,,
2586,59.00568,,
2585,58.90474,,
2584,58.74331,,
2583,58.65089,,
2582,58.58859,,
2581,58.51899,,
2580,58.4444,,
2579,58.39695,,
2578,58.36266,,
2577,58.29357,,
2576,58.26591,,
2575,58.27881,,
2574,58.26528,,
2573,58.25668,,
2572,58.25178,,
2571,58.23699,,
2570,58.19769,,
2569,58.16864,,
2568,58.13193,,
2567,58.0575,,
2566,58.05274,,
2565,58.01897,,
2564,57.9925,,
2563,57.97587,,
2562,57.89033,,
2561,57.86155,,
2560,57.82332,,
2559,57.78577,,
2558,57.78234,,
2557,57.77997,,
2556,57.74788,,
2555,57.73615,,
2554,57.73755,,
2553,57.73449,,
2552,57.72066,,
2551,57.70159,,
2550,57.69839,,
2549,57.67626,,
2548,57.64003,,
2547,57.59948,,
2546,57.57426,,
2545,57.541,,
2544,57.4768,,
2543,57.44747,,
2542,57.3664,,
2541,57.30007,,
2540,57.21676,,
2539,57.10443,,
2538,57.00549,,
2537,56.88032,,
2536,56.74702,,
2535,56.582,,
2534,56.40563,,
2533,56.25417,,
2532,56.11149,,
2531,55.93006,,
2530,55.69946,,
2529,55.51472,,
2528,55.35292,,
2527,55.15226,,
2526,54.94941,,
2525,54.78396,,
2524,54.59607,,
2523,54.39926,,
2522,54.18242,,
2521,54.01029,,
2520,53.86326,,
2519,53.73141,,
2518,53.58271,,
2517,53.45108,,
2516,53.32791,,
2515,53.23527,,
2514,53.17279,,
2513,53.11607,,
2512,53.10264,,
2511,53.10542,,
2510,53.11409,,
2509,53.13374,,
2508,53.20216,,
2507,53.25891,,
2506,53.33466,,
2505,53.3995,,
2504,53.48515,,
2503,53.5961,,
2502,53.69297,,
2501,53.7701,,
2500,53.81514,,
2499,53.8846,,
2498,53.96746,,
2497,54.03917,,
2496,54.09446,,
2495,54.15344,,
2494,54.18408,,
2493,54.20924,,
2492,54.25474,,
2491,54.30696,,
2490,54.38095,,
2489,54.43399,,
2488,54.47489,,
2487,54.48342,,
2486,54.47493,,
2485,54.45802,,
2484,54.4503,,
2483,54.39887,,
2482,54.32697,,
2481,54.20404,,
2480,54.0062,,
2479,53.79697,,
2478,53.57005,,
2477,53.30678,,
2476,53.00552,,
2475,52.68945,,
2474,52.32474,,
2473,51.93067,,
2472,51.55425,,
2471,51.1584,,
2470,50.7882,,
2469,50.44073,,
2468,50.07858,,
2467,49.76793,,
2466,49.49411,,
2465,49.30444,,
2464,49.21912,,
2463,49.20534,,
2462,49.24408,,
2461,49.35961,,
2460,49.54371,,
2459,49.78606,,
2458,50.09329,,
2457,50.45771,,
2456,50.83386,,
2455,51.21594,,
2454,51.61811,,
2453,52.01503,,
2452,52.43149,,
2451,52.85372,,
2450,53.29996,,
2449,53.74843,,
2448,54.20355,,
2447,54.66089,,
2446,55.09549,,
2445,55.51628,,
2444,55.89902,,
2443,56.2734,,
2442,56.64682,,
2441,56.97361,,
2440,57.26742,,
2439,57.53002,,
2438,57.77389,,
2437,57.96975,,
2436,58.13457,,
2435,58.29007,,
2434,58.44144,,
2433,58.57704,,
2432,58.68688,,
2431,58.76761,,
2430,58.82975,,
2429,58.87103,,
2428,58.91754,,
2427,58.98267,,
2426,59.01979,,
2425,59.02149,,
2424,58.99729,,
2423,58.96981,,
2422,58.92396,,
2421,58.86697,,
2420,58.81379,,
2419,58.75289,,
2418,58.66995,,
2417,58.57362,,
2416,58.45355,,
2415,58.29805,,
2414,58.12262,,
2413,57.94353,,
2412,57.77515,,
2411,57.60154,,
2410,57.43577,,
2409,57.25142,,
2408,57.06433,,
2407,56.89617,,
2406,56.75313,,
2405,56.64295,,
2404,56.57007,,
2403,56.54954,,
2402,56.53607,,
2401,56.5332,,
2400,56.55138,,
2399,56.58759,,
2398,56.63876,,
2397,56.71487,,
2396,56.81842,,
2395,56.9269,,
2394,57.00827,,
2393,57.07969,,
2392,57.16149,,
2391,57.24887,,
2390,57.33818,,
2389,57.41332,,
2388,57.49082,,
2387,57.57859,,
2386,57.67976,,
2385,57.77175,,
2384,57.84662,,
2383,57.90403,,
2382,57.95446,,
2381,57.97608,,
2380,57.99015,,
2379,58.0081,,
2378,58.0216,,
2377,58.01353,,
2376,57.99315,,
2375,57.96028,,
2374,57.90877,,
2373,57.8614,,
2372,57.8159,,
2371,57.78724,,
2370,57.77865,,
2369,57.77197,,
2368,57.76925,,
2367,57.77014,,
2366,57.76877,,
2365,57.78604,,
2364,57.80217,,
2363,57.82717,,
2362,57.89685,,
2361,57.95351,,
2360,57.98705,,
2359,57.99994,,
2358,58.00848,,
2357,58.0032,,
2356,57.98231,,
2355,57.95436,,
2354,57.94143,,
2353,57.94834,,
2352,57.98416,,
2351,58.00196,,
2350,58.02877,,
2349,58.06812,,
2348,58.11181,,
2347,58.14428,,
2346,58.19176,,
2345,58.26895,,
2344,58.32604,,
2343,58.34895,,
2342,58.352,,
2341,58.32671,,
2340,58.25331,,
2339,58.17649,,
2338,58.09699,,
2337,58.00697,,
2336,57.90695,,
2335,57.75648,,
2334,57.57167,,
2333,57.39517,,
2332,57.17538,,
2331,56.92116,,
2330,56.65641,,
2329,56.41963,,
2328,56.17324,,
2327,55.86201,,
2326,55.50163,,
2325,55.13306,,
2324,54.7373,,
2323,54.28661,,
2322,53.84777,,
2321,53.43533,,
2320,53.08546,,
2319,52.78906,,
2318,52.52958,,
2317,52.31845,,
2316,52.19655,,
2315,52.14204,,
2314,52.14228,,
2313,52.20239,,
2312,52.33255,,
2311,52.47648,,
2310,52.61105,,
2309,52.74056,,
2308,52.85672,,
2307,52.96874,,
2306,53.07701,,
