Wavelength (nm),% Transmission,Optical Density,
2600,36.09059,0.44261,
2599,36.07949,0.44274,
2598,36.04766,0.44312,
2597,36.02071,0.44345,
2596,35.98883,0.44383,
2595,35.95139,0.44428,
2594,35.89841,0.44492,
2593,35.83982,0.44563,
2592,35.77718,0.44639,
2591,35.70651,0.44725,
2590,35.6226,0.44827,
2589,35.53665,0.44932,
2588,35.45003,0.45038,
2587,35.34261,0.45170,
2586,35.24545,0.45290,
2585,35.15075,0.45407,
2584,35.05954,0.45519,
2583,34.9623,0.45640,
2582,34.87167,0.45753,
2581,34.80436,0.45837,
2580,34.75723,0.45895,
2579,34.72416,0.45937,
2578,34.70631,0.45959,
2577,34.71067,0.45954,
2576,34.71944,0.45943,
2575,34.74062,0.45916,
2574,34.76563,0.45885,
2573,34.78987,0.45855,
2572,34.81014,0.45829,
2571,34.82989,0.45805,
2570,34.85863,0.45769,
2569,34.86798,0.45757,
2568,34.87691,0.45746,
2567,34.87741,0.45746,
2566,34.87712,0.45746,
2565,34.87202,0.45752,
2564,34.86477,0.45761,
2563,34.86023,0.45767,
2562,34.8489,0.45781,
2561,34.85179,0.45777,
2560,34.86205,0.45765,
2559,34.87361,0.45750,
2558,34.89208,0.45727,
2557,34.92908,0.45681,
2556,34.96154,0.45641,
2555,35.01533,0.45574,
2554,35.08691,0.45485,
2553,35.16984,0.45383,
2552,35.27914,0.45248,
2551,35.39766,0.45103,
2550,35.52718,0.44944,
2549,35.64694,0.44798,
2548,35.78462,0.44630,
2547,35.90784,0.44481,
2546,36.02681,0.44337,
2545,36.13082,0.44212,
2544,36.24126,0.44080,
2543,36.33289,0.43970,
2542,36.40888,0.43879,
2541,36.47656,0.43799,
2540,36.53433,0.43730,
2539,36.57293,0.43684,
2538,36.59799,0.43654,
2537,36.61506,0.43634,
2536,36.60744,0.43643,
2535,36.57888,0.43677,
2534,36.53365,0.43731,
2533,36.4652,0.43812,
2532,36.3894,0.43903,
2531,36.29964,0.44010,
2530,36.2106,0.44116,
2529,36.11168,0.44235,
2528,36.01419,0.44353,
2527,35.90932,0.44479,
2526,35.8056,0.44605,
2525,35.697,0.44737,
2524,35.58823,0.44869,
2523,35.48451,0.44996,
2522,35.37999,0.45124,
2521,35.27631,0.45252,
2520,35.18623,0.45363,
2519,35.10543,0.45463,
2518,35.03805,0.45546,
2517,34.97975,0.45618,
2516,34.93814,0.45670,
2515,34.91781,0.45695,
2514,34.9134,0.45701,
2513,34.93145,0.45678,
2512,34.96545,0.45636,
2511,35.03492,0.45550,
2510,35.10725,0.45460,
2509,35.20962,0.45334,
2508,35.31023,0.45210,
2507,35.4435,0.45046,
2506,35.55888,0.44905,
2505,35.70726,0.44724,
2504,35.84883,0.44553,
2503,36.00528,0.44363,
2502,36.15804,0.44180,
2501,36.31292,0.43994,
2500,36.443,0.43839,
2499,36.57834,0.43678,
2498,36.70256,0.43530,
2497,36.81689,0.43395,
2496,36.94081,0.43249,
2495,37.04285,0.43130,
2494,37.13954,0.43016,
2493,37.21836,0.42924,
2492,37.31206,0.42815,
2491,37.38126,0.42735,
2490,37.481,0.42619,
2489,37.56364,0.42523,
2488,37.66815,0.42403,
2487,37.74384,0.42315,
2486,37.83654,0.42209,
2485,37.89506,0.42142,
2484,37.96383,0.42063,
2483,37.99136,0.42032,
2482,38.01027,0.42010,
2481,37.97122,0.42055,
2480,37.90026,0.42136,
2479,37.76757,0.42288,
2478,37.60592,0.42474,
2477,37.39346,0.42720,
2476,37.15211,0.43002,
2475,36.88642,0.43313,
2474,36.59631,0.43656,
2473,36.2763,0.44038,
2472,35.91642,0.44471,
2471,35.55227,0.44913,
2470,35.14591,0.45413,
2469,34.74187,0.45915,
2468,34.33434,0.46427,
2467,33.9322,0.46939,
2466,33.52793,0.47459,
2465,33.16669,0.47930,
2464,32.84554,0.48352,
2463,32.61036,0.48664,
2462,32.45441,0.48873,
2461,32.41728,0.48922,
2460,32.45928,0.48866,
2459,32.60553,0.48671,
2458,32.81275,0.48396,
2457,33.11141,0.48002,
2456,33.43489,0.47580,
2455,33.79495,0.47115,
2454,34.14995,0.46661,
2453,34.53757,0.46171,
2452,34.90821,0.45707,
2451,35.31581,0.45203,
2450,35.73523,0.44690,
2449,36.17094,0.44164,
2448,36.60148,0.43650,
2447,37.06476,0.43104,
2446,37.52771,0.42565,
2445,37.98262,0.42042,
2444,38.45265,0.41507,
2443,38.91804,0.40985,
2442,39.32368,0.40535,
2441,39.74023,0.40077,
2440,40.08743,0.39699,
2439,40.40525,0.39356,
2438,40.68298,0.39059,
2437,40.92933,0.38797,
2436,41.14109,0.38572,
2435,41.32942,0.38374,
2434,41.48516,0.38211,
2433,41.61304,0.38077,
2432,41.71012,0.37976,
2431,41.79747,0.37885,
2430,41.86763,0.37812,
2429,41.9194,0.37758,
2428,41.97009,0.37706,
2427,42.00569,0.37669,
2426,42.0165,0.37658,
2425,42.02081,0.37654,
2424,42.01215,0.37663,
2423,41.98766,0.37688,
2422,41.97173,0.37704,
