Wavelength (nm),% Transmission,Optical Density
2600,30.07657,0.52177
2599,30.22102,0.51969
2598,30.33845,0.51801
2597,30.43849,0.51658
2596,30.57216,0.51467
2595,30.65922,0.51344
2594,30.78103,0.51172
2593,30.88058,0.51031
2592,30.92558,0.50968
2591,31.04943,0.50795
2590,31.11206,0.50707
2589,31.16241,0.50637
2588,31.2506,0.50514
2587,31.34612,0.50382
2586,31.46423,0.50218
2585,31.52953,0.50128
2584,31.61319,0.50013
2583,31.73886,0.49841
2582,31.81382,0.49738
2581,31.8864,0.49639
2580,32.03695,0.49435
2579,32.15326,0.49277
2578,32.28897,0.49095
2577,32.46644,0.48857
2576,32.62024,0.48651
2575,32.78975,0.48426
2574,32.94899,0.48216
2573,33.1781,0.47915
2572,33.30129,0.47754
2571,33.44974,0.47561
2570,33.60312,0.47362
2569,33.77503,0.4714
2568,33.9092,0.46968
2567,34.10366,0.4672
2566,34.27125,0.46507
2565,34.35614,0.464
2564,34.48309,0.46239
2563,34.64442,0.46037
2562,34.75389,0.459
2561,34.87926,0.45743
2560,34.96824,0.45633
2559,35.13453,0.45427
2558,35.19609,0.45351
2557,35.28138,0.45245
2556,35.34021,0.45173
2555,35.40133,0.45098
2554,35.44659,0.45043
2553,35.46609,0.45019
2552,35.49395,0.44985
2551,35.55015,0.44916
2550,35.61451,0.44837
2549,35.59237,0.44864
2548,35.62379,0.44826
2547,35.61128,0.44841
2546,35.58879,0.44869
2545,35.522,0.4495
2544,35.4312,0.45061
2543,35.33924,0.45174
2542,35.22034,0.45321
2541,35.05375,0.45527
2540,34.88111,0.45741
2539,34.67945,0.45993
2538,34.44289,0.4629
2537,34.13308,0.46682
2536,33.85097,0.47043
2535,33.53678,0.47448
2534,33.16867,0.47927
2533,32.7891,0.48427
2532,32.41399,0.48927
2531,31.9764,0.49517
2530,31.52606,0.50133
2529,31.07334,0.50761
2528,30.61306,0.51409
2527,30.07486,0.5218
2526,29.6116,0.52854
2525,29.13359,0.53561
2524,28.64299,0.54298
2523,28.15963,0.55037
2522,27.65501,0.55823
2521,27.16899,0.56593
2520,26.66091,0.57412
2519,26.18067,0.58202
2518,25.71841,0.58976
2517,25.2541,0.59767
2516,24.82866,0.60505
2515,24.4063,0.6125
2514,23.97325,0.62027
2513,23.58265,0.62741
2512,23.23615,0.63384
2511,22.89915,0.64018
2510,22.55134,0.64683
2509,22.22812,0.6531
2508,21.90312,0.65949
2507,21.58286,0.66589
2506,21.31911,0.67123
2505,21.04918,0.67676
2504,20.81317,0.68166
2503,20.53236,0.68756
2502,20.27759,0.69298
2501,20.03006,0.69832
2500,19.76809,0.70404
2499,19.51478,0.70964
2498,19.25398,0.71548
