Wavelength (nm),% Transmission,,
2600,73.08506775,,
2599,73.07330322,,
2598,73.10028076,,
2597,72.87823486,,
2596,72.79705048,,
2595,72.51952362,,
2594,72.49227905,,
2593,72.20426178,,
2592,72.0221405,,
2591,71.8423996,,
2590,71.64588928,,
2589,71.49024963,,
2588,71.22745514,,
2587,71.00700378,,
2586,70.70114899,,
2585,70.49979401,,
2584,70.17468262,,
2583,69.85983276,,
2582,69.64703369,,
2581,69.50224304,,
2580,69.17341614,,
2579,69.0254364,,
2578,68.84004974,,
2577,68.67018127,,
2576,68.6083374,,
2575,68.32835388,,
2574,68.27121735,,
2573,68.08677673,,
2572,67.87886047,,
2571,67.66552734,,
2570,67.50595856,,
2569,67.35405731,,
2568,67.16894531,,
2567,66.97410583,,
2566,66.79096985,,
2565,66.45262146,,
2564,66.28961945,,
2563,66.11529541,,
2562,65.90432739,,
2561,65.55144501,,
2560,65.43615723,,
2559,65.15837097,,
2558,64.87369537,,
2557,64.83687592,,
2556,64.59764099,,
2555,64.4669342,,
2554,64.27030945,,
2553,64.18395996,,
2552,63.88853836,,
2551,63.72494125,,
2550,63.63777542,,
2549,63.40965652,,
2548,63.19420242,,
2547,63.01540756,,
2546,62.92827225,,
2545,62.67573166,,
2544,62.44714737,,
2543,62.31526566,,
2542,62.12567139,,
2541,61.98849487,,
2540,61.73533249,,
2539,61.57614517,,
2538,61.37226105,,
2537,61.12075043,,
2536,60.92469788,,
2535,60.68281555,,
2534,60.37487793,,
2533,60.13352966,,
2532,59.97185135,,
2531,59.64382935,,
2530,59.32850266,,
2529,59.05141068,,
2528,58.83887482,,
2527,58.5654068,,
2526,58.37516785,,
2525,58.08348083,,
2524,57.86330795,,
2523,57.65103531,,
2522,57.45170212,,
2521,57.15315247,,
2520,56.9885025,,
2519,56.86346436,,
2518,56.65367126,,
2517,56.37263489,,
2516,56.29296112,,
2515,56.16199493,,
2514,56.05081177,,
2513,55.94154739,,
2512,55.91650009,,
2511,55.83708954,,
2510,55.91015244,,
2509,55.94626236,,
2508,55.96590805,,
2507,55.98188782,,
2506,56.07442856,,
2505,56.15958023,,
2504,56.21616745,,
2503,56.28186035,,
2502,56.52658844,,
2501,56.49946213,,
2500,56.66846466,,
2499,56.88068771,,
2498,56.8855629,,
2497,57.03477859,,
2496,57.1676178,,
2495,57.3054657,,
2494,57.3605423,,
2493,57.48085785,,
2492,57.60455704,,
2491,57.70339966,,
2490,57.8115921,,
2489,57.97488022,,
2488,58.09513855,,
2487,58.23809433,,
2486,58.36500549,,
2485,58.52696228,,
2484,58.55500793,,
2483,58.795578,,
2482,58.85307312,,
2481,58.85007858,,
2480,58.88796997,,
2479,58.87334442,,
2478,58.73986053,,
2477,58.70490646,,
2476,58.56464005,,
2475,58.4324646,,
2474,58.16474533,,
2473,58.00494003,,
2472,57.70042038,,
2471,57.48591614,,
2470,57.26716614,,
2469,57.01094437,,
2468,56.71430206,,
2467,56.45567322,,
2466,56.28688812,,
2465,56.06330109,,
2464,55.98069,,
2463,56.03047562,,
2462,56.11732483,,
2461,56.14203644,,
2460,56.55692291,,
2459,56.85260391,,
2458,57.22499084,,
2457,57.88698959,,
2456,58.34910202,,
2455,58.93994522,,
2454,59.44755554,,
2453,60.09506607,,
2452,60.63195419,,
2451,61.27573395,,
2450,61.86700439,,
2449,62.45619583,,
2448,63.12928009,,
2447,63.69287872,,
2446,64.3744812,,
2445,64.95886993,,
2444,65.6386261,,
2443,66.14510345,,
2442,66.73034668,,
2441,67.32141113,,
2440,67.65792084,,
2439,68.06571198,,
2438,68.49372864,,
2437,68.85739899,,
2436,69.03035736,,
2435,69.32455444,,
2434,69.60007477,,
2433,69.73049927,,
2432,69.90672302,,
2431,70.05635834,,
2430,70.17292786,,
2429,70.20832062,,
2428,70.26451111,,
2427,70.3258667,,
2426,70.40956879,,
2425,70.29229736,,
2424,70.31777191,,
2423,70.15937805,,
2422,70.16881561,,
2421,70.03766632,,
2420,69.89711761,,
2419,69.78207397,,
2418,69.5524292,,
2417,69.30802155,,
2416,69.04253387,,
2415,68.83260345,,
2414,68.50292206,,
2413,68.33109283,,
2412,68.06276703,,
2411,67.59020996,,
2410,67.24815369,,
2409,66.83410645,,
2408,66.43025208,,
2407,66.0402832,,
2406,65.6307373,,
2405,65.16229248,,
2404,64.79417419,,
2403,64.59313965,,
2402,64.2602005,,
2401,64.02728271,,
2400,63.80360794,,
2399,63.5462265,,
2398,63.32154846,,
2397,63.21982193,,
2396,62.98090744,,
2395,62.83126068,,
2394,62.67628098,,
2393,62.46064377,,
2392,62.22507858,,
2391,62.13331985,,
2390,61.88449097,,
