Wavelength (nm),% Transmission,Optical Density
2600,32.67494,0.48579
2599,32.89605,0.48286
2598,33.08613,0.48035
2597,33.29436,0.47763
2596,33.50674,0.47487
2595,33.71077,0.47223
2594,33.89696,0.46984
2593,34.0855,0.46743
2592,34.25445,0.46528
2591,34.40034,0.46344
2590,34.53535,0.46174
2589,34.62132,0.46066
2588,34.69535,0.45973
2587,34.76926,0.4588
2586,34.83957,0.45793
2585,34.95628,0.45647
2584,35.08075,0.45493
2583,35.19573,0.45351
2582,35.32967,0.45186
2581,35.48334,0.44998
2580,35.61719,0.44834
2579,35.78649,0.44628
2578,35.96701,0.4441
2577,36.11406,0.44232
2576,36.30201,0.44007
2575,36.47557,0.438
2574,36.62115,0.43627
2573,36.80755,0.43406
2572,36.98256,0.432
2571,37.10331,0.43059
2570,37.2342,0.42906
2569,37.33808,0.42785
2568,37.42155,0.42688
2567,37.51134,0.42584
2566,37.56478,0.42522
2565,37.59238,0.4249
2564,37.61354,0.42466
2563,37.60201,0.42479
2562,37.58225,0.42502
2561,37.54729,0.42542
2560,37.4693,0.42632
2559,37.41097,0.427
2558,37.33685,0.42786
2557,37.23677,0.42903
2556,37.14879,0.43006
2555,37.03958,0.43133
2554,36.90585,0.4329
2553,36.77672,0.43443
2552,36.60668,0.43644
2551,36.43467,0.43849
2550,36.25856,0.44059
2549,36.04226,0.44319
2548,35.83234,0.44572
2547,35.61849,0.44832
2546,35.34408,0.45168
2545,35.0752,0.455
2544,34.7958,0.45847
2543,34.45208,0.46278
2542,34.11948,0.467
2541,33.76891,0.47148
2540,33.36547,0.4767
2539,32.97937,0.48176
2538,32.57541,0.48711
2537,32.13329,0.49304
2536,31.68449,0.49915
2535,31.20594,0.50576
2534,30.67848,0.51317
2533,30.15963,0.52057
2532,29.63851,0.52814
2531,29.10225,0.53607
2530,28.58197,0.54391
2529,28.03957,0.55223
2528,27.49044,0.56082
2527,26.94056,0.56959
2526,26.39517,0.57848
2525,25.86808,0.58724
2524,25.31625,0.5966
2523,24.78127,0.60588
2522,24.25088,0.61527
2521,23.71652,0.62495
2520,23.20808,0.63436
2519,22.72252,0.64354
2518,22.24385,0.65279
2517,21.78033,0.66194
2516,21.34303,0.67074
2515,20.90514,0.67975
2514,20.49043,0.68845
2513,20.11531,0.69647
2512,19.75797,0.70426
2511,19.41519,0.71186
2510,19.09817,0.71901
2509,18.80264,0.72578
2508,18.50474,0.73272
2507,18.22878,0.73924
2506,17.97932,0.74523
2505,17.72657,0.75138
2504,17.48862,0.75724
2503,17.25864,0.76299
2502,17.02529,0.76891
2501,16.79946,0.7747
2500,16.57706,0.78049
2499,16.37212,0.7859
2498,16.15382,0.79172
2497,15.93452,0.79766
2496,15.72279,0.80347
2495,15.49383,0.80984
2494,15.27352,0.81606
2493,15.06262,0.8221
2492,14.84534,0.82841
2491,14.63461,0.83462
2490,14.43379,0.84062
2489,14.22593,0.84692
2488,14.03906,0.85266
2487,13.84997,0.85855
2486,13.6649,0.86439
2485,13.49472,0.86984
2484,13.29814,0.87621
2483,13.10893,0.88243
2482,12.91461,0.88892
2481,12.68294,0.89678
2480,12.47971,0.9038
2479,12.24701,0.91197
2478,11.98817,0.92125
2477,11.75049,0.92994
2476,11.4797,0.94007
2475,11.20135,0.95073
2474,10.95934,0.96022
2473,10.68065,0.9714
2472,10.41128,0.9825
2471,10.16413,0.99293
2470,9.87847,1.00531
2469,9.62517,1.01659
2468,9.37766,1.02791
2467,9.11851,1.04008
2466,8.91089,1.05008
2465,8.68667,1.06115
2464,8.48835,1.07118
2463,8.34198,1.07873
2462,8.18981,1.08673
2461,8.0924,1.09192
2460,8.03644,1.09494
2459,7.97369,1.09834
2458,7.97464,1.09829
2457,7.96829,1.09863
2456,7.96561,1.09878
2455,8.01266,1.09622
2454,8.01233,1.09624
2453,8.03646,1.09493
2452,8.08325,1.09241
2451,8.07734,1.09273
2450,8.12583,1.09013
2449,8.16023,1.0883
2448,8.16391,1.0881
2447,8.23848,1.08415
2446,8.25341,1.08337
2445,8.28514,1.0817
2444,8.35234,1.07819
2443,8.34289,1.07868
2442,8.38665,1.07641
2441,8.41032,1.07519
2440,8.38025,1.07674
2439,8.42447,1.07446
2438,8.38881,1.0763
2437,8.36005,1.07779
2436,8.36825,1.07737
2435,8.29158,1.08136
2434,8.27727,1.08211
2433,8.24881,1.08361
2432,8.16308,1.08815
2431,8.16474,1.08806
2430,8.07922,1.09263
2429,8.02316,1.09565
2428,8.00879,1.09643
2427,7.90434,1.10213
2426,7.88011,1.10347
2425,7.827,1.1064
2424,7.72724,1.11198
2423,7.7159,1.11261
2422,7.61551,1.1183
2421,7.54817,1.12216
2420,7.51877,1.12385
2419,7.40033,1.13075
2418,7.36596,1.13277
2417,7.28535,1.13755
2416,7.1818,1.14377
2415,7.15521,1.14538
2414,7.03759,1.15258
2413,6.966,1.15702
2412,6.9122,1.16038
2411,6.7772,1.16895
2410,6.73253,1.17182
2409,6.62776,1.17863
2408,6.52452,1.18545
2407,6.48522,1.18808
2406,6.35924,1.19659
2405,6.31382,1.19971
2404,6.2511,1.20404
2403,6.16405,1.21013
2402,6.16151,1.21031
2401,6.08617,1.21566
2400,6.06214,1.21737
2399,6.06197,1.21739
2398,6.0009,1.22178
2397,6.02478,1.22006
2396,5.99198,1.22243
2395,5.96534,1.22436
2394,5.98826,1.2227
2393,5.93251,1.22676
2392,5.95329,1.22524
2391,5.93502,1.22658
2390,5.89812,1.22929
2389,5.93331,1.2267
2388,5.88266,1.23043
2387,5.89061,1.22984
2386,5.89771,1.22932
2385,5.85659,1.23236
2384,5.8905,1.22985
2383,5.85678,1.23234
2382,5.85248,1.23266
2381,5.86399,1.23181
2380,5.82292,1.23486
2379,5.84448,1.23325
2378,5.80684,1.23606
2377,5.78546,1.23766
2376,5.78938,1.23737
2375,5.73149,1.24173
2374,5.7402,1.24107
2373,5.70611,1.24366
2372,5.67605,1.24595
2371,5.6823,1.24548
2370,5.62788,1.24965
2369,5.63608,1.24902
2368,5.60924,1.2511
2367,5.58253,1.25317
2366,5.59914,1.25188
2365,5.55796,1.25508
2364,5.57568,1.2537
2363,5.56623,1.25444
2362,5.55548,1.25528
2361,5.58609,1.25289
2360,5.56461,1.25457
2359,5.58781,1.25276
2358,5.58578,1.25292
2357,5.56876,1.25424
2356,5.59052,1.25255
2355,5.5549,1.25532
2354,5.56809,1.25429
2353,5.55926,1.25498
2352,5.54334,1.25623
2351,5.56759,1.25433
2350,5.54383,1.25619
2349,5.57965,1.25339
2348,5.58904,1.25266
2347,5.59685,1.25206
2346,5.64565,1.24829
2345,5.63599,1.24903
2344,5.6833,1.2454
2343,5.69577,1.24445
2342,5.70482,1.24376
2341,5.7503,1.24031
2340,5.72974,1.24186
2339,5.7727,1.23862
2338,5.76256,1.23938
2337,5.75912,1.23964
2336,5.78045,1.23804
2335,5.74247,1.2409
2334,5.77036,1.2388
2333,5.73288,1.24163
2332,5.72589,1.24216
2331,5.72478,1.24224
2330,5.67049,1.24638
2329,5.68949,1.24493
2328,5.63503,1.2491
2327,5.62282,1.25005
2326,5.59651,1.25208
2325,5.53495,1.25689
2324,5.52836,1.2574
2323,5.44338,1.26413
2322,5.40992,1.26681
2321,5.3491,1.27172
2320,5.27232,1.278
2319,5.25049,1.2798
2318,5.16454,1.28697
2317,5.16308,1.28709
2316,5.13325,1.28961
2315,5.13272,1.28965
2314,5.16521,1.28691
2313,5.16964,1.28654
2312,5.24445,1.2803
2311,5.27309,1.27793
2310,5.3437,1.27216
2309,5.41454,1.26644
2308,5.46136,1.2627
2307,5.54883,1.2558
2306,5.58989,1.2526
2305,5.66508,1.24679
2304,5.72686,1.24208
2303,5.78717,1.23753
2302,5.86925,1.23142
2301,5.94169,1.22609
2300,6.03292,1.21947
2299,6.12819,1.21267
2298,6.23145,1.20541
2297,6.34537,1.19754
2296,6.46232,1.18961
2295,6.59128,1.18103
2294,6.72661,1.1722
2293,6.85758,1.16383
2292,7.00001,1.1549
2291,7.14587,1.14594
2290,7.29489,1.13698
2289,7.46291,1.12709
2288,7.63142,1.11739
2287,7.79922,1.10795
2286,7.97752,1.09813
2285,8.15601,1.08852
2284,8.34145,1.07876
2283,8.53545,1.06877
2282,8.71765,1.0596
2281,8.91639,1.04981
2280,9.07718,1.04205
2279,9.27548,1.03266
2278,9.44419,1.02484
2277,9.62351,1.01667
2276,9.82861,1.00751
2275,10.02005,0.99913
2274,10.25207,0.98919
2273,10.47462,0.97986
2272,10.75791,0.96827
2271,11.05006,0.95664
2270,11.38361,0.94372
2269,11.76128,0.92955
2268,12.13239,0.91605
2267,12.54666,0.90147
2266,12.93957,0.88808
2265,13.38385,0.87342
2264,13.79866,0.86016
2263,14.27201,0.84551
2262,14.73507,0.83165
2261,15.18124,0.81869
2260,15.67945,0.80467
2259,16.13478,0.79224
2258,16.64653,0.77868
2257,17.13126,0.76621
2256,17.68358,0.75243
2255,18.19085,0.74015
2254,18.72359,0.72761
2253,19.27994,0.71489
2252,19.80137,0.7033
2251,20.37972,0.6908
2250,20.92165,0.6794
2249,21.51364,0.66729
2248,22.02958,0.65699
2247,22.59981,0.6459
2246,23.14662,0.63551
2245,23.66875,0.62582
2244,24.24073,0.61545
2243,24.76355,0.60619
2242,25.31328,0.59665
2241,25.80571,0.58828
2240,26.34693,0.57927
2239,26.84632,0.57112
2238,27.35715,0.56293
2237,27.8871,0.5546
2236,28.38037,0.54698
2235,28.89539,0.53917
2234,29.39309,0.53175
2233,29.93172,0.52387
2232,30.4393,0.51657
2231,31.00877,0.50852
2230,31.57696,0.50063
2229,32.12793,0.49312
2228,32.70965,0.48532
2227,33.28624,0.47774
2226,33.87081,0.47017
2225,34.45066,0.4628
2224,35.04551,0.45537
2223,35.62365,0.44826
2222,36.17011,0.44165
2221,36.72962,0.43498
2220,37.25749,0.42879
2219,37.77658,0.42278
2218,38.3088,0.4167
2217,38.81734,0.41097
2216,39.31281,0.40547
2215,39.79389,0.40018
2214,40.29189,0.39478
2213,40.77235,0.38963
2212,41.27001,0.38437
2211,41.78209,0.37901
2210,42.2769,0.3739
2209,42.77409,0.36882
2208,43.29193,0.36359
2207,43.81076,0.35842
2206,44.33399,0.35326
2205,44.87488,0.348
2204,45.41732,0.34278
2203,45.91785,0.33802
2202,46.44404,0.33307
2201,46.94466,0.32841
2200,47.44279,0.32383
2199,47.92217,0.31946
2198,48.39686,0.31518
2197,48.83666,0.31125
2196,49.23126,0.30776
2195,49.63673,0.3042
2194,50.00003,0.30103
2193,50.36805,0.29784
2192,50.73215,0.29472
2191,51.09307,0.29164
2190,51.44035,0.2887
2189,51.83157,0.28541
2188,52.22075,0.28216
2187,52.62782,0.27878
2186,53.06619,0.27518
2185,53.49988,0.27165
